"TABLA DE COLINDANCIAS ""ANANDA""",,,,,,,,,,,,,,,,,,,,,,,
LOTE,Cliente,M2 PRIVATIVO,% INDIVISO,M2 Area Comun,M2 Area Recreativa,M2 Pasillos,Total Terreno,NORTE,SUR,ESTE,OESTE,Total Construccion,Lista 1 Preventa Construccion         (3 unidades),Lista 2 Preventa Construccion (3 unidades),Lista 3  Preventa Contstruccion               (3 unidades),Lista 4                (3 unidades),Lista 5                (3 unidades),Lista 6                (3 unidades),Lista 7                (3 unidades),Lista 8               (3 unidades),Lista 9                (3 unidades),Lista 10            (6 unidades),
1,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con calle Puerto Marquez,21 m con Lote 02, 7 m con pasillo,7 m con Calle Puerto Kino,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
2,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 01,21 m con Lote 03, 7 m con pasillo,7 m con Calle Puerto Kino,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
3,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 02,21 m con Lote 04, 7 m con pasillo,7 m con Calle Puerto Kino,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
4,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 03,21 m con Lote 05, 7 m con pasillo,7 m con Calle Puerto Kino,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
5,,161.00,2.37%,57.39,11.61,6.63,236.63,21 m con Lote 04 y 2 m con pasillo,23 m con Lote 06,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
6,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 05,23 m con Lote 07,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
7,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 06,23 m con Lote 08,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
8,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 07,23 m con Lote 09,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
9,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 08,23 m con Lote 10,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
10,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 09,23 m con Lote 11,7 m con Área Compun,7 m con Calle Puerto Kino,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
